"DATE","VALUE"
"1977-03-01",38.38938
"1977-04-01",38.16264
"1977-05-01",37.9359
"1977-06-01",38.16264
"1977-07-01",37.82253
"1977-08-01",37.9359
"1977-09-01",37.70916
"1977-10-01",37.70916
"1977-11-01",37.70916
"1977-12-01",37.25568
"1978-01-01",37.25568
"1978-02-01",37.14231
"1978-03-01",37.14231
"1978-04-01",36.91557
"1978-05-01",36.8022
"1978-06-01",36.68883
"1978-07-01",37.02894
"1978-08-01",36.68883
"1978-09-01",36.8022
"1978-10-01",36.57546
"1978-11-01",36.68883
"1978-12-01",36.8022
"1979-01-01",36.68883
"1979-02-01",36.68883
"1979-03-01",36.57546
"1979-04-01",36.57546
"1979-05-01",36.34872
"1979-06-01",36.46209
"1979-07-01",36.46209
"1979-08-01",36.8022
"1979-09-01",36.68883
"1979-10-01",36.8022
"1979-11-01",36.68883
"1979-12-01",36.8022
"1980-01-01",37.14231
"1980-02-01",37.14231
"1980-03-01",37.14231
"1980-04-01",37.82253
"1980-05-01",38.50275
"1980-06-01",38.61612
"1980-07-01",38.84286
"1980-08-01",38.72949
"1980-09-01",38.50275
"1980-10-01",38.50275
"1980-11-01",38.50275
"1980-12-01",38.16264
"1981-01-01",38.50275
"1981-02-01",38.38938
"1981-03-01",38.38938
"1981-04-01",38.16264
"1981-05-01",38.50275
"1981-06-01",38.50275
"1981-07-01",38.16264
"1981-08-01",38.38938
"1981-09-01",38.61612
"1981-10-01",38.95623
"1981-11-01",39.40971
"1981-12-01",39.63645
"1982-01-01",39.74982
"1982-02-01",40.08993
"1982-03-01",40.2033
"1982-04-01",40.54341
"1982-05-01",40.65678
"1982-06-01",40.88352
"1982-07-01",41.11026
"1982-08-01",41.11026
"1982-09-01",41.45037
"1982-10-01",41.79048
"1982-11-01",42.24396
"1982-12-01",42.24396
"1983-01-01",41.79048
"1983-02-01",41.79048
"1983-03-01",41.67711
"1983-04-01",41.56374
"1983-05-01",41.45037
"1983-06-01",41.45037
"1983-07-01",40.65678
"1983-08-01",40.77015
"1983-09-01",40.43004
"1983-10-01",39.97656
"1983-11-01",39.63645
"1983-12-01",39.40971
"1984-01-01",39.0696
"1984-02-01",38.84286
"1984-03-01",38.84286
"1984-04-01",38.72949
"1984-05-01",38.38938
"1984-06-01",38.16264
"1984-07-01",38.50275
"1984-08-01",38.50275
"1984-09-01",38.27601
"1984-10-01",38.38938
"1984-11-01",38.16264
"1984-12-01",38.27601
"1985-01-01",38.27601
"1985-02-01",38.16264
"1985-03-01",38.16264
"1985-04-01",38.27601
"1985-05-01",38.16264
"1985-06-01",38.38938
"1985-07-01",38.38938
"1985-08-01",38.04927
"1985-09-01",38.04927
"1985-10-01",38.04927
"1985-11-01",37.9359
"1985-12-01",37.9359
"1986-01-01",37.59579
"1986-02-01",38.16264
"1986-03-01",38.16264
"1986-04-01",38.04927
"1986-05-01",38.16264
"1986-06-01",38.16264
"1986-07-01",37.9359
"1986-08-01",37.82253
"1986-09-01",37.9359
"1986-10-01",37.9359
"1986-11-01",37.82253
"1986-12-01",37.48242
"1987-01-01",37.48242
"1987-02-01",37.48242
"1987-03-01",37.48242
"1987-04-01",37.14231
"1987-05-01",37.14231
"1987-06-01",37.02894
"1987-07-01",36.91557
"1987-08-01",36.8022
"1987-09-01",36.68883
"1987-10-01",36.8022
"1987-11-01",36.57546
"1987-12-01",36.46209
"1988-01-01",36.46209
"1988-02-01",36.46209
"1988-03-01",36.46209
"1988-04-01",36.12198
"1988-05-01",36.34872
"1988-06-01",36.12198
"1988-07-01",36.12198
"1988-08-01",36.34872
"1988-09-01",36.12198
"1988-10-01",36.12198
"1988-11-01",36.00861
"1988-12-01",36.00861
"1989-01-01",36.12198
"1989-02-01",35.89524
"1989-03-01",35.6685
"1989-04-01",35.89524
"1989-05-01",35.89524
"1989-06-01",36.00861
"1989-07-01",35.89524
"1989-08-01",35.89524
"1989-09-01",36.00861
"1989-10-01",36.00861
"1989-11-01",36.12198
"1989-12-01",36.12198
"1990-01-01",36.12198
"1990-02-01",36.00861
"1990-03-01",35.89524
"1990-04-01",36.12198
"1990-05-01",36.12198
"1990-06-01",35.89524
"1990-07-01",36.23535
"1990-08-01",36.46209
"1990-09-01",36.68883
"1990-10-01",36.68883
"1990-11-01",37.02894
"1990-12-01",37.14231
"1991-01-01",37.25568
"1991-02-01",37.48242
"1991-03-01",37.70916
"1991-04-01",37.59579
"1991-05-01",37.82253
"1991-06-01",37.82253
"1991-07-01",37.70916
"1991-08-01",37.82253
"1991-09-01",37.82253
"1991-10-01",37.9359
"1991-11-01",37.9359
"1991-12-01",38.27601
"1992-01-01",38.27601
"1992-02-01",38.38938
"1992-03-01",38.38938
"1992-04-01",38.38938
"1992-05-01",38.61612
"1992-06-01",38.84286
"1992-07-01",38.72949
"1992-08-01",38.61612
"1992-09-01",38.61612
"1992-10-01",38.27601
"1992-11-01",38.38938
"1992-12-01",38.38938
"1993-01-01",38.27601
"1993-02-01",38.04927
"1993-03-01",37.9359
"1993-04-01",38.04927
"1993-05-01",38.04927
"1993-06-01",37.9359
"1993-07-01",37.82253
"1993-08-01",37.70916
"1993-09-01",37.59579
"1993-10-01",37.70916
"1993-11-01",37.48242
"1993-12-01",37.36905
"1994-01-01",37.48242
"1994-02-01",37.48242
"1994-03-01",37.36905
"1994-04-01",37.25568
"1994-05-01",36.91557
"1994-06-01",36.91557
"1994-07-01",36.91557
"1994-08-01",36.8022
"1994-09-01",36.68883
"1994-10-01",36.57546
"1994-11-01",36.34872
"1994-12-01",36.23535
"1995-01-01",36.34872
"1995-02-01",36.12198
"1995-03-01",36.12198
"1995-04-01",36.57546
"1995-05-01",36.34872
"1995-06-01",36.34872
"1995-07-01",36.46209
"1995-08-01",36.46209
"1995-09-01",36.34872
"1995-10-01",36.23535
"1995-11-01",36.34872
"1995-12-01",36.34872
"1996-01-01",36.34872
"1996-02-01",36.23535
"1996-03-01",36.23535
"1996-04-01",36.34872
"1996-05-01",36.34872
"1996-06-01",36.00861
"1996-07-01",36.23535
"1996-08-01",35.78187
"1996-09-01",35.89524
"1996-10-01",35.89524
"1996-11-01",36.12198
"1996-12-01",36.12198
"1997-01-01",36.00861
"1997-02-01",35.89524
"1997-03-01",35.89524
"1997-04-01",35.78187
"1997-05-01",35.55513
"1997-06-01",35.6685
"1997-07-01",35.55513
"1997-08-01",35.44176
"1997-09-01",35.55513
"1997-10-01",35.32839
"1997-11-01",35.21502
"1997-12-01",35.32839
"1998-01-01",35.21502
"1998-02-01",35.21502
"1998-03-01",35.32839
"1998-04-01",34.87491
"1998-05-01",34.98828
"1998-06-01",35.10165
"1998-07-01",35.10165
"1998-08-01",35.10165
"1998-09-01",35.21502
"1998-10-01",35.10165
"1998-11-01",34.98828
"1998-12-01",34.98828
"1999-01-01",34.87491
"1999-02-01",34.98828
"1999-03-01",34.76154
"1999-04-01",34.87491
"1999-05-01",34.76154
"1999-06-01",34.87491
"1999-07-01",34.87491
"1999-08-01",34.76154
"1999-09-01",34.76154
"1999-10-01",34.64817
"1999-11-01",34.64817
"1999-12-01",34.5348
"2000-01-01",34.5348
"2000-02-01",34.64817
"2000-03-01",34.5348
"2000-04-01",34.30806
"2000-05-01",34.5348
"2000-06-01",34.5348
"2000-07-01",34.5348
"2000-08-01",34.64817
"2000-09-01",34.42143
