"DATE","VALUE"
"1972-06-01",43.355752
"1972-07-01",43.355752
"1972-08-01",43.344415
"1972-09-01",43.616503
"1972-10-01",43.605166
"1972-11-01",43.865917
"1972-12-01",43.865917
"1973-01-01",44.126668
"1973-02-01",44.376082
"1973-03-01",45.475771
"1973-04-01",46.00861
"1973-05-01",46.269361
"1973-06-01",46.8022
"1973-07-01",46.507438
"1973-08-01",48.38938
"1973-09-01",48.344032
"1973-10-01",49.137622
"1973-11-01",49.353025
"1973-12-01",50.135278
"1974-01-01",50.88352
"1974-02-01",51.337
"1974-03-01",51.495718
"1974-04-01",51.416359
"1974-05-01",52.141927
"1974-06-01",52.311982
"1974-07-01",53.082898
"1974-08-01",52.345993
"1974-09-01",53.547715
"1974-10-01",53.423008
"1974-11-01",53.83114
"1974-12-01",53.71777
"1975-01-01",53.320975
"1975-02-01",52.708777
"1975-03-01",51.858502
"1975-04-01",51.552403
"1975-05-01",50.498062
"1975-06-01",50.407366
"1975-07-01",50.804161
"1975-08-01",49.772494
"1975-09-01",48.967567
"1975-10-01",48.672805
"1975-11-01",48.366706
"1975-12-01",48.083281
"1976-01-01",47.584453
"1976-02-01",47.108299
"1976-03-01",46.870222
"1976-04-01",46.632145
"1976-05-01",47.040277
"1976-06-01",46.779526
"1976-07-01",46.303372
"1976-08-01",46.484764
"1976-09-01",46.224013
"1976-10-01",46.190002
"1976-11-01",45.736522
"1976-12-01",45.713848
"1977-01-01",45.89524
"1977-02-01",46.892896
"1977-03-01",47.289691
"1977-04-01",47.879215
"1977-05-01",47.641138
"1977-06-01",47.59579
"1977-07-01",47.561779
"1977-08-01",47.516431
"1977-09-01",47.278354
"1977-10-01",47.244343
"1977-11-01",47.607127
"1977-12-01",47.573116
"1978-01-01",47.720497
"1978-02-01",47.074288
"1978-03-01",47.233006
"1978-04-01",47.36905
"1978-05-01",48.094618
"1978-06-01",48.434728
"1978-07-01",48.763501
"1978-08-01",48.910882
"1978-09-01",49.613776
"1978-10-01",50.123941
"1978-11-01",50.055919
"1978-12-01",50.191963
"1979-01-01",50.486725
"1979-02-01",51.155608
"1979-03-01",51.620425
"1979-04-01",51.892513
"1979-05-01",52.13059
"1979-06-01",52.561396
"1979-07-01",52.980865
"1979-08-01",53.423008
"1979-09-01",53.468356
"1979-10-01",53.683759
"1979-11-01",54.273283
"1979-12-01",55.021525
"1980-01-01",55.724419
"1980-02-01",56.053192
"1980-03-01",56.540683
"1980-04-01",56.540683
"1980-05-01",56.359291
"1980-06-01",56.177899
"1980-07-01",54.908155
"1980-08-01",54.613393
"1980-09-01",54.477349
"1980-10-01",54.318631
"1980-11-01",54.318631
"1980-12-01",54.001195
"1981-01-01",53.366323
"1981-02-01",52.912843
"1981-03-01",52.028557
"1981-04-01",51.495718
"1981-05-01",51.098923
"1981-06-01",50.99689
"1981-07-01",52.209949
"1981-08-01",52.266634
"1981-09-01",52.436689
"1981-10-01",51.643099
"1981-11-01",50.860846
"1981-12-01",50.101267
"1982-01-01",49.364362
"1982-02-01",48.627457
"1982-03-01",47.799856
"1982-04-01",47.505094
"1982-05-01",47.833867
"1982-06-01",48.139966
"1982-07-01",47.437072
"1982-08-01",46.768189
"1982-09-01",45.600478
"1982-10-01",45.702511
"1982-11-01",45.078976
"1982-12-01",44.342071
"1983-01-01",44.206027
"1983-02-01",43.945276
"1983-03-01",44.069983
"1983-04-01",44.5348
"1983-05-01",43.899928
"1983-06-01",42.800239
"1983-07-01",42.675532
"1983-08-01",42.788902
"1983-09-01",43.129012
"1983-10-01",43.117675
"1983-11-01",43.582492
"1983-12-01",44.296723
"1984-01-01",44.863573
"1984-02-01",45.317053
"1984-03-01",45.543793
"1984-04-01",45.158335
"1984-05-01",44.908921
"1984-06-01",44.908921
"1984-07-01",44.886247
"1984-08-01",44.87491
"1984-09-01",44.852236
"1984-10-01",44.840899
"1984-11-01",44.704855
"1984-12-01",44.580148
"1985-01-01",44.001961
"1985-02-01",44.092657
"1985-03-01",44.296723
"1985-04-01",44.058646
"1985-05-01",44.047309
"1985-06-01",44.149342
"1985-07-01",43.922602
"1985-08-01",43.797895
"1985-09-01",43.684525
"1985-10-01",43.673188
"1985-11-01",43.979287
"1985-12-01",44.296723
"1986-01-01",44.500789
"1986-02-01",43.62784
"1986-03-01",42.437455
"1986-04-01",41.802583
"1986-05-01",41.904616
"1986-06-01",42.006649
"1986-07-01",41.893279
"1986-08-01",41.791246
"1986-09-01",41.995312
"1986-10-01",41.779909
"1986-11-01",41.451136
"1986-12-01",41.349103
"1987-01-01",41.541832
"1987-02-01",42.165367
"1987-03-01",43.219708
"1987-04-01",44.172016
"1987-05-01",44.160679
"1987-06-01",44.251375
"1987-07-01",44.455441
"1987-08-01",44.863573
"1987-09-01",44.840899
"1987-10-01",44.942932
"1987-11-01",45.135661
"1987-12-01",44.908921
"1988-01-01",44.682181
"1988-02-01",44.466778
"1988-03-01",44.342071
"1988-04-01",44.523463
"1988-05-01",44.512126
"1988-06-01",44.489452
"1988-07-01",44.682181
"1988-08-01",44.659507
"1988-09-01",44.738866
"1988-10-01",44.829562
"1988-11-01",44.818225
"1988-12-01",44.999617
"1989-01-01",45.078976
"1989-02-01",45.271705
"1989-03-01",45.543793
"1989-04-01",45.702511
"1989-05-01",45.985936
"1989-06-01",45.861229
"1989-07-01",45.736522
"1989-08-01",45.237694
"1989-09-01",45.033628
"1989-10-01",45.203683
"1989-11-01",45.283042
"1989-12-01",45.260368
"1990-01-01",45.89524
"1990-02-01",45.963262
"1990-03-01",45.940588
"1990-04-01",45.339727
"1990-05-01",44.954269
"1990-06-01",45.294379
"1990-07-01",45.464434
"1990-08-01",46.46209
"1990-09-01",46.994929
"1990-10-01",47.233006
"1990-11-01",47.02894
"1990-12-01",47.085625
"1991-01-01",46.405405
"1991-02-01",46.019947
"1991-03-01",45.464434
"1991-04-01",45.453097
"1991-05-01",45.702511
"1991-06-01",45.32839
"1991-07-01",44.954269
"1991-08-01",44.30806
"1991-09-01",43.85458
"1991-10-01",43.231045
"1991-11-01",43.480459
"1991-12-01",43.378426
"1992-01-01",43.026979
"1992-02-01",43.197034
"1992-03-01",43.616503
"1992-04-01",43.605166
"1992-05-01",43.423774
"1992-06-01",43.412437
"1992-07-01",43.582492
"1992-08-01",43.480459
"1992-09-01",43.389763
"1992-10-01",43.718536
"1992-11-01",43.537144
"1992-12-01",43.367089
"1993-01-01",43.684525
"1993-02-01",43.684525
"1993-03-01",43.423774
"1993-04-01",43.582492
"1993-05-01",43.650514
"1993-06-01",43.4011
"1993-07-01",43.231045
"1993-08-01",43.219708
"1993-09-01",43.129012
"1993-10-01",43.117675
"1993-11-01",43.106338
"1993-12-01",43.185697
"1994-01-01",42.777565
"1994-02-01",42.856924
"1994-03-01",43.004305
"1994-04-01",42.675532
"1994-05-01",42.596173
"1994-06-01",42.822913
"1994-07-01",43.06099
"1994-08-01",43.28773
"1994-09-01",43.367089
"1994-10-01",42.958957
"1994-11-01",42.94762
"1994-12-01",42.94762
"1995-01-01",43.253719
"1995-02-01",43.242382
"1995-03-01",43.163023
"1995-04-01",43.548481
"1995-05-01",43.537144
"1995-06-01",43.446448
"1995-07-01",43.208371
"1995-08-01",42.970294
"1995-09-01",42.890935
"1995-10-01",43.106338
"1995-11-01",42.94762
"1995-12-01",42.868261
"1996-01-01",43.163023
"1996-02-01",43.083664
"1996-03-01",43.219708
"1996-04-01",43.208371
"1996-05-01",43.208371
"1996-06-01",43.197034
"1996-07-01",43.265056
