Date,StartTime,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,FuelEconomy,TotalTime,MovingTime,Take407All,Comments
11/8/2011,17:24,Tuesday,Home,50.75,131.3,89.5,93.5,9.35,34.3,32.6,Yes,
11/8/2011,07:25,Tuesday,GSK,51.82,126.8,66.1,73.9,9.35,47.0,42.1,No,
11/7/2011,16:05,Monday,Home,51.06,127.4,80.4,85.2,9.35,38.1,36.0,No,
11/7/2011,07:19,Monday,GSK,51.62,125.4,74.9,82.9,9.35,41.4,37.4,No,
11/4/2011,12:12,Friday,Home,51.03,128.4,82.2,89.7,9.35,37.2,34.1,No,
11/4/2011,08:16,Friday,GSK,51.81,130.2,82.1,85.0,9.35,37.9,36.6,No,
11/3/2011,17:00,Thursday,Home,51.07,130.3,75.8,81.7,8.32,40.4,37.5,No,
11/3/2011,07:46,Thursday,GSK,51.83,133.0,80.6,85.4,8.32,38.6,36.4,No,
11/2/2011,16:45,Wednesday,Home,51.27,121.5,75.1,79.1,8.32,41.0,38.9,No,
11/2/2011,07:51,Wednesday,GSK,51.83,129.3,72.5,78.1,8.32,42.9,39.8,No,
11/1/2011,08:13,Tuesday,GSK,51.74,129.7,71.8,79.4,8.32,43.2,39.1,No,
10/31/2011,15:49,Monday,Home,51.06,125.0,76.4,85.7,8.32,40.1,35.7,No,
10/31/2011,06:21,Monday,GSK,50.58,125.0,104.4,106.2,8.32,29.1,28.6,Yes,
10/28/2011,12:14,Friday,Home,51.28,120.5,83.0,89.5,8.32,37.1,34.4,No,
10/27/2011,08:20,Thursday,GSK,51.77,125.6,82.4,89.5,8.97,37.7,34.7,No,
10/26/2011,08:20,Wednesday,GSK,51.75,127.9,74.6,81.7,8.97,41.6,38.0,No,
10/25/2011,17:24,Tuesday,Home,52.87,123.5,65.1,72.4,8.97,48.7,43.8,No,"Rain, rain, rain"
10/25/2011,08:13,Tuesday,GSK,51.75,127.4,72.1,82.0,8.97,43.1,37.8,No,
10/24/2011,17:29,Monday,Home,51.06,126.5,71.6,78.6,8.97,42.8,39.0,No,
10/21/2011,08:31,Friday,GSK,50.64,129.0,106.6,112.1,8.97,28.5,27.1,Yes,
10/20/2011,17:37,Thursday,Home,51.33,125.2,72.5,79.6,8.75,42.5,38.7,No,
10/20/2011,08:22,Thursday,GSK,51.74,124.5,68.9,79.2,8.75,45.0,39.2,No,
10/19/2011,17:39,Wednesday,Home,51.30,126.2,63.4,73.3,8.75,48.6,42.0,No,
10/19/2011,08:24,Wednesday,GSK,51.68,130.2,75.7,81.6,8.75,41.0,38.0,No,
10/18/2011,17:28,Tuesday,Home,51.36,133.1,69.5,79.1,8.75,44.4,38.9,No,
10/18/2011,08:14,Tuesday,GSK,51.74,130.8,80.8,85.2,8.75,38.4,36.5,No,
10/17/2011,16:58,Monday,Home,51.30,127.3,78.6,82.9,8.75,39.1,37.1,No,
10/17/2011,08:22,Monday,GSK,50.61,137.1,93.7,100.3,8.75,32.4,30.3,Yes,
10/13/2011,08:36,Thursday,GSK,50.66,128.3,105.5,111.3,8.75,28.8,27.3,Yes,
10/12/2011,17:47,Wednesday,Home,51.40,114.4,59.7,65.8,8.75,51.7,46.9,No,"Rain, rain, rain"
10/12/2011,08:28,Wednesday,GSK,50.58,128.4,59.5,67.3,8.75,51.0,45.1,Yes,Accident: backup from Hamilton to 407 ramp
10/11/2011,17:17,Tuesday,Home,51.52,135.1,67.3,78.4,7.81,46.0,39.5,No,
10/11/2011,08:25,Tuesday,GSK,48.94,130.8,85.7,93.2,7.81,34.3,31.5,Yes,
10/7/2011,12:15,Friday,Home,51.02,124.8,80.4,88.9,7.97,38.1,34.4,Yes,
10/7/2011,08:23,Friday,GSK,50.68,128.3,101.9,107.2,7.97,29.9,28.4,Yes,
10/6/2011,17:58,Thursday,Home,51.29,126.0,73.3,76.3,7.97,42.0,40.3,No,
10/6/2011,08:22,Thursday,GSK,50.63,125.6,38.5,103.8,7.97,30.8,29.3,Yes,
10/5/2011,17:10,Wednesday,Home,51.31,127.5,69.5,75.5,7.97,44.3,40.8,No,
10/5/2011,08:36,Wednesday,GSK,50.59,128.5,103.4,108.0,7.97,29.4,28.1,Yes,
10/4/2011,17:39,Tuesday,Home,51.15,128.8,76.0,85.2,7.97,40.4,36.0,No,
10/4/2011,07:42,Tuesday,GSK,50.67,127.3,94.9,97.9,7.97,32.0,31.1,Yes,
10/3/2011,17:31,Monday,Home,51.22,126.7,81.2,86.4,7.97,37.8,35.6,No,
10/3/2011,07:41,Monday,GSK,50.65,127.4,91.1,95.2,7.97,33.4,31.9,Yes,
9/29/2011,17:17,Thursday,Home,51.39,128.4,65.3,71.9,8.93,47.2,42.9,No,
9/29/2011,08:22,Thursday,GSK,50.65,122.8,83.5,86.9,8.93,36.4,35.0,Yes,
9/28/2011,17:53,Wednesday,Home,51.23,124.9,79.2,81.5,8.93,38.8,37.7,No,
9/28/2011,07:57,Wednesday,GSK,50.65,128.8,102.2,105.7,8.93,29.7,28.7,Yes,
9/27/2011,17:26,Tuesday,Home,51.11,130.1,69.8,75.6,8.31,44.0,40.6,No,
9/27/2011,07:36,Tuesday,GSK,50.65,128.1,86.3,88.6,8.31,35.2,34.3,Yes,Raining
9/26/2011,17:37,Monday,Home,50.69,132.3,97.2,103.6,8.31,31.3,29.3,Yes,
9/26/2011,08:02,Monday,GSK,50.65,129.4,88.2,91.3,8.31,34.4,33.3,Yes,
9/22/2011,17:27,Thursday,Home,51.11,124.8,74.3,79.6,8.31,41.3,38.5,No,
9/22/2011,07:37,Thursday,GSK,50.67,130.0,97.6,101.6,8.31,31.1,29.9,Yes,
9/21/2011,18:05,Wednesday,Home,51.74,133.3,82.9,89.2,8.33,37.4,34.8,Yes,
9/21/2011,08:02,Wednesday,GSK,49.16,128.7,59.5,68.0,8.33,49.6,43.4,No,
9/20/2011,17:20,Tuesday,Home,51.23,127.2,71.7,76.9,8.33,42.9,40.0,No,
9/20/2011,08:10,Tuesday,GSK,51.69,128.7,70.4,70.1,8.33,44.1,39.7,No,
9/19/2011,16:43,Monday,Home,51.30,123.9,69.6,75.2,8.33,44.2,40.9,No,
9/19/2011,06:34,Monday,GSK,49.09,123.7,69.4,79.1,8.33,42.4,37.3,No,
9/15/2011,17:50,Thursday,Home,51.13,127.5,69.0,75.9,8.33,44.4,40.4,No,
9/15/2011,08:08,Thursday,GSK,50.67,129.3,99.0,103.3,8.33,30.7,29.4,Yes,
9/14/2011,17:36,Wednesday,Home,51.77,127.0,71.1,79.6,8.33,43.7,39.0,No,
9/14/2011,08:11,Wednesday,GSK,50.54,126.8,98.7,103.7,8.33,30.7,29.3,Yes,
9/13/2011,17:22,Tuesday,Home,51.58,134.3,70.0,80.0,8.5,44.2,38.7,No,
9/13/2011,07:51,Tuesday,GSK,49.12,129.1,52.7,63.2,8.5,55.9,46.6,No,
9/12/2011,17:04,Monday,Home,51.43,131.1,75.1,79.5,8.5,40.6,38.8,No,
9/12/2011,08:05,Monday,GSK,49.12,127.5,65.7,73.1,8.5,44.8,40.3,No,
9/8/2011,16:37,Thursday,Home,50.92,137.0,66.9,77.7,8.5,45.6,39.3,No,
9/8/2011,07:23,Thursday,GSK,49.25,124.7,53.5,63.1,8.5,55.2,46.9,No,
9/7/2011,17:24,Wednesday,Home,51.34,132.8,71.5,76.6,8.5,43.1,40.2,No,
9/7/2011,07:57,Wednesday,GSK,49.08,125.1,56.5,66.5,8.5,52.1,44.3,No,Back to school traffic?
9/6/2011,16:27,Tuesday,Home,52.88,131.6,95.4,98.3,8.5,33.3,32.3,Yes,Took 407 all the way (to McMaster)
9/6/2011,07:50,Tuesday,GSK,54.36,132.5,95.1,98.0,8.5,34.3,33.3,Yes,
9/2/2011,17:07,Friday,Home,51.17,129.7,77.7,87.9,8.5,39.5,34.9,No,
9/2/2011,07:39,Friday,GSK,51.65,132.7,82.6,91.4,8.5,37.5,33.9,No,
9/1/2011,17:33,Thursday,Home,52.42,128.9,81.6,88.0,8.5,38.5,35.7,No,
9/1/2011,08:08,Thursday,GSK,49.13,126.8,67.3,73.9,8.5,43.8,39.9,No,
8/31/2011,17:14,Wednesday,Home,51.15,140.9,71.5,79.5,8.5,42.9,38.6,No,
8/31/2011,08:09,Wednesday,GSK,49.07,127.7,65.9,77.3,8.5,44.7,38.1,No,
8/30/2011,17:38,Tuesday,Home,51.66,138.0,67.1,73.2,8.5,46.2,42.4,No,
8/30/2011,07:57,Tuesday,GSK,49.04,133.5,69.1,77.8,8.5,42.6,37.8,No,
8/29/2011,17:11,Monday,Home,51.04,131.0,75.5,84.1,8.5,40.5,36.4,No,
8/29/2011,07:48,Monday,GSK,49.15,124.0,63.9,74.0,8.5,46.1,39.9,No,
8/26/2011,16:29,Friday,Home,50.88,132.7,81.1,86.9,8.54,37.6,35.2,No,
8/26/2011,07:49,Friday,GSK,49.01,129.1,76.3,83.3,8.54,38.6,35.3,No,
8/25/2011,17:39,Thursday,Home,51.23,132.8,64.2,70.6,8.54,47.9,43.5,No,
8/25/2011,09:09,Thursday,GSK,50.45,133.5,106.8,111.1,8.54,28.3,27.3,Yes,
8/24/2011,16:47,Wednesday,Home,51.01,132.9,79.6,86.1,8.54,38.5,38.5,No,
8/24/2011,07:59,Wednesday,GSK,49.07,127.1,58.5,71.5,8.54,50.3,41.1,No,Heavy volume on Derry
8/23/2011,17:23,Tuesday,Home,51.22,129.7,79.7,84.5,8.54,38.5,36.4,No,
8/23/2011,07:54,Tuesday,GSK,49.20,124.5,71.0,76.7,8.54,41.6,38.5,No,
8/22/2011,16:44,Monday,Home,51.12,126.8,77.9,85.2,8.54,39.6,36.0,No,
8/22/2011,07:49,Monday,GSK,49.18,123.8,65.6,73.3,8.54,45.0,40.2,No,
8/19/2011,17:42,Friday,Home,51.09,126.5,78.1,81.6,8.37,39.3,37.6,No,
8/19/2011,07:05,Friday,GSK,49.18,123.0,72.0,81.4,8.37,41.0,36.3,No,Start early to run a batch
8/18/2011,17:05,Thursday,Home,50.97,129.6,66.6,76.2,8.37,45.9,40.2,No,
8/18/2011,08:11,Thursday,GSK,52.26,137.7,51.2,64.1,8.37,61.2,48.9,No,Accident at 403/highway 6; detour along Dundas
8/17/2011,17:17,Wednesday,Home,51.11,129.8,68.9,75.7,8.37,44.5,40.5,No,
8/17/2011,08:10,Wednesday,GSK,49.10,124.8,67.9,76.2,8.37,43.4,38.7,No,
8/16/2011,17:27,Tuesday,Home,51.14,133.4,82.4,87.0,8.37,37.2,35.3,No,
8/16/2011,08:15,Tuesday,GSK,49.14,131.7,75.0,80.2,8.37,39.3,36.7,No,
8/15/2011,17:38,Monday,Home,51.11,132.3,78.0,83.7,8.37,39.3,36.7,No,
8/15/2011,08:15,Monday,GSK,49.20,124.7,71.3,75.7,8.37,41.4,39.0,No,
8/12/2011,17:25,Friday,Home,55.57,127.7,69.6,77.1,8.54,47.9,43.2,No,Detour taken
8/12/2011,08:05,Friday,GSK,49.02,128.4,76.7,82.9,8.54,38.4,35.5,No,Must be Friday
8/11/2011,17:25,Thursday,Home,51.18,133.6,80.7,86.0,8.54,38.0,35.7,No,
8/11/2011,08:13,Thursday,GSK,48.99,125.5,68.3,79.5,8.54,43.0,37.0,No,
8/10/2011,17:14,Wednesday,Home,51.03,127.4,73.5,79.3,8.54,41.7,38.6,No,
8/10/2011,08:13,Wednesday,GSK,48.98,124.8,72.8,78.8,8.54,40.4,37.3,No,
8/9/2011,17:13,Tuesday,Home,51.15,127.1,72.1,82.3,8.54,42.5,37.3,No,
8/9/2011,08:15,Tuesday,GSK,49.08,134.8,60.5,67.2,8.54,48.7,43.8,No,Medium amount of rain
8/8/2011,17:05,Monday,Home,52.35,127.5,76.9,84.2,8.54,40.9,37.3,No,
8/8/2011,08:07,Monday,GSK,49.25,126.3,68.5,78.2,8.54,43.1,37.8,No,New tires
8/5/2011,17:00,Friday,Home,51.94,126.7,74.5,82.6,8.48,41.9,37.7,No,
8/5/2011,08:20,Friday,GSK,49.13,123.9,74.1,79.9,8.48,39.8,36.9,No,
8/4/2011,17:38,Thursday,Home,50.96,131.9,70.3,78.5,8.48,43.5,38.9,No,
8/4/2011,08:17,Thursday,GSK,49.12,122.4,71.5,77.3,8.48,41.2,38.2,No,
8/3/2011,17:14,Wednesday,Home,51.64,125.0,72.2,78.7,8.48,42.9,39.4,No,
8/3/2011,08:06,Wednesday,GSK,49.06,121.9,71.5,78.7,8.48,41.2,37.4,No,
8/2/2011,17:22,Tuesday,Home,51.16,124.2,76.3,83.2,8.48,40.2,36.9,No,
8/2/2011,07:38,Tuesday,GSK,53.48,124.9,68.8,78.8,8.48,46.7,40.7,No,Turn around on Derry
7/29/2011,20:31,Friday,Home,50.68,135.6,107.7,110.4,8.45,28.2,27.6,Yes,
7/29/2011,08:22,Friday,GSK,49.07,121.1,73.2,77.7,8.45,40.2,37.9,No,Empty roads
7/28/2011,17:46,Thursday,Home,51.09,128.5,76.0,84.8,8.45,40.3,36.2,No,
7/28/2011,08:11,Thursday,GSK,49.11,120.1,69.1,73.1,8.45,42.6,40.3,No,
7/27/2011,17:24,Wednesday,Home,50.98,124.9,68.3,71.9,8.45,44.8,42.6,No,Police slowdown on 403
7/27/2011,08:15,Wednesday,GSK,48.82,124.5,70.4,77.8,8.45,41.6,37.6,No,
7/26/2011,17:15,Tuesday,Home,51.28,122.1,43.7,51.5,8.45,70.5,59.8,No,Accident blocked 407 exit
7/26/2011,08:11,Tuesday,GSK,49.16,122.6,71.9,76.8,8.45,41.0,38.4,No,
7/25/2011,16:59,Monday,Home,51.05,126.6,70.4,78.8,8.45,51.1,38.9,No,
7/25/2011,08:06,Monday,GSK,48.32,121.2,63.4,78.4,8.45,45.7,37.0,No,
7/22/2011,16:47,Friday,Home,51.24,126.3,75.8,81.8,8.28,40.6,37.6,No,
7/22/2011,08:28,Friday,GSK,51.05,123.3,88.9,96.7,8.28,34.5,31.7,Yes,
7/21/2011,07:59,Thursday,GSK,48.35,129.3,81.5,89.0,8.28,35.6,32.6,Yes,
7/20/2011,17:17,Wednesday,Home,53.47,124.0,58.6,71.0,7.89,54.8,45.2,No,
7/20/2011,08:24,Wednesday,GSK,48.50,125.8,75.7,87.3,7.89,38.5,33.3,Yes,
7/19/2011,17:17,Tuesday,Home,51.16,126.7,92.2,102.6,7.89,33.3,29.9,Yes,
7/19/2011,08:11,Tuesday,GSK,50.96,124.3,82.3,96.4,7.89,37.2,31.7,Yes,
7/18/2011,08:09,Monday,GSK,54.52,125.6,49.9,82.4,7.89,65.5,39.7,No,
7/14/2011,08:03,Thursday,GSK,50.90,123.7,76.2,95.1,7.89,40.1,32.1,Yes,
7/13/2011,17:08,Wednesday,Home,51.96,132.6,57.5,76.7,,54.2,40.6,Yes,
7/12/2011,17:51,Tuesday,Home,53.28,125.8,61.6,87.6,,51.9,36.5,Yes,
7/11/2011,16:56,Monday,Home,51.73,125.0,62.8,92.5,,49.5,33.6,Yes,
