Name in English,Number of speakers,Degree of endangerment,Latitude,Longitude
Mapuche (Argentina),100000,Severely endangered,-40.0791,-71.0156
Mehri,100000,Definitely endangered,16.5993,52.8057
Miskito (Nicaragua),100000,Vulnerable,12.4001,-83.7332
Ordos,100000,Definitely endangered,39.1641,108.1054
Quechua of Northern Bolivia,100000,Vulnerable,-15.3649,-69.0518
Suba,100000,Vulnerable,-0.9942,34.519
Garífuna (Honduras),98000,Vulnerable,15.6754,-88.1476
Embera (Colombia),95000,Vulnerable,6.1624,-76.8383
Kabui,95000,Vulnerable,24.7218,93.6584
Shughni,95000,Vulnerable,37.4879,71.5374
Permyak,94328,Definitely endangered,59.204,54.5361
Poqomchi',92941,Vulnerable,15.3757,-90.4288
Yimchungru,92000,Vulnerable,25.9629,94.9713
Nogay (Caucasus),90020,Definitely endangered,43.8028,46.2744
Heiban,90000,Vulnerable,10.8575,30.2371
Quichua (Cañar and Azuay),90000,Severely endangered,-2.6577,-78.8378
Mezquital Otomí,88789,Definitely endangered,20.4831,-99.217
Eastern Mazahua,88001,Definitely endangered,19.7129,-99.9515
Burushaski,87000,Vulnerable,35.909,74.2153
Central Otomí,84593,Definitely endangered,19.4661,-99.5944
Chokri,84000,Vulnerable,25.8691,94.7131
Sangtam,84000,Vulnerable,26.6032,94.9603
Ixil (Guatemala),83574,Vulnerable,15.4849,-91.0358
Achi',82640,Vulnerable,15.0845,-90.4888
Yem,81613,Vulnerable,7.6347,37.3205
Mao,81000,Vulnerable,25.5027,94.2681
Arbëresh,80000,Definitely endangered,40.9321,14.8645
Lari,80000,Definitely endangered,27.8585,54.8547
Páez,80000,Definitely endangered,2.8237,-76.3117
Quechua of Santiago del Estero,80000,Definitely endangered,-26.7848,-63.6767
Svan,80000,Definitely endangered,43.0207,42.3193
Tai Daeng,80000,Vulnerable,19.8833,104.6166
Taznatit,80000,Severely endangered,29.3413,0.3955
Razihi,75000,Definitely endangered,16.8834,43.2655
Wakhi,75000,Definitely endangered,37.1603,74.9047
Bishnupriya Manipuri Creole,72899,Vulnerable,24.297,92.4499
Acheron,70000,Severely endangered,10.809,30.2453
Maori,70000,Vulnerable,-38.4105,177.3632
Tai Neua,70000,Vulnerable,20.5166,104.3166
Bhadravahi,66918,Definitely endangered,33.5413,76.333
Kinnauri,65097,Definitely endangered,31.541,78.3764
Gallo-Sicilian,65000,Definitely endangered,38.0167,14.5994
